carVIN,scrapeURL_Model_Year,listingDateDiff,vehicleHistUseType,vehicleHistTitleStatus,vehicleHistNumOwners,vehicleHistAccidents,transmissionType,fuelType,driveType,engineInfo,mileage,interiorColor,exteriorColor,style,location_state,car_location_latitude,car_location_longitude,mileageRating_HWY,mileageRating_CTY,monthlyPayment_USD,allFeatures,listPrice_USD,Price_Difference_Pct
5YFEPMAE9MP189567,2021,-44,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,57878,Black,Black Sand Pearl,Sedan, VA,38.4167265,-77.4579783,38,30,348,4 cyl 1 8 liter automatic cvt fwd convenience pkg premium pkg hill start assist control traction control stability control vehicle dynamic control abs 4 wheel keyless entry air conditioning power windows power door locks dynamic cruise control remote trunk release power steering tilt telescoping wheel,20977,1.93545311531678
5YFEPMAE9MP200843,2021,-14,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,41621,Black,Gray,Sedan, WI,43.07469,-89.3841663,38,30,348,rear view camera auxiliary audio input overhead airbags traction control side airbags air conditioning abs brakes power locks power mirrors am fm stereo satellite radio ready rear defroster power windows cloth seats automatic transmission lane departure warning automated cruise control siriusxm trial available,20998,0
5YFEPMAE9MP216380,2021,-2,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,36499,Light Gray,Super White,Sedan, GA,33.7939953,-84.6604899,38,30,358,lane keeping assist bluetooth connection light gray premium fabric seat trim super white,21599,0
5YFEPMAE9MP217898,2021,-30,Fleet Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,36774,Unknown,Black Sand Pearl,Sedan, GA,33.5831662,-84.3393683,38,30,365,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,22013,5.12424476445737
5YFEPMAE9MP221725,2021,-97,Rental Use,Clean,2,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,43561,Black,Black Sand Pearl,Sedan, GA,33.5870558,-84.5424299,38,30,331,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,19977,0
5YFEPMAE9MP223670,2021,-44,Mixed Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,34613,Light Gray,Classic Silver Metallic,Sedan, MD,39.0984317,-76.8485094,38,30,380,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,22950,0.379084967320261
5YFEPMAE9MP224284,2021,-112,Mixed Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,41000,Light Gray,Gray,Sedan, MD,38.8105035,-76.950006,38,30,376,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,22690,2.9572498898193
5YFEPMAE9MP225757,2021,-76,Frame Damage,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,39609,Black,Classic Silver Metallic,Sedan, CA,33.8714814,-117.8617337,38,30,330,bluetooth backup camera,19888,2.79565567176187
5YFEPMAE9MP230859,2021,-3,Rental Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,36964,Black,Black Sand Pearl,Sedan, OK,36.1563122,-95.9927516,38,30,381,rear view camera auxiliary audio input overhead airbags traction control side airbags air conditioning abs brakes power locks power mirrors am fm stereo satellite radio ready rear defroster power windows cloth seats automatic transmission lane departure warning automated cruise control apple carplay,22998,0.895730063483781
5YFEPMAE9MP233048,2021,-92,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,40199,Light Gray,Gray,Sedan, NH,43.207178,-71.537476,38,30,364,cruise control adaptive lane keeping assist headlights led pre collision warning system audible warning pre collision warning system visual warning lane deviation sensors air conditioning front automatic climate control traffic sign recognition headlights automatic high beam dimmer airbags driver knee daytime running lights led tail and brake lights led airbags front side airbags front side curtain airbags rear side airbags rear side curtain electronic messaging assistance with read function electronic messaging assistance with voice recognition,21995,3.68265514889748
5YFEPMAE9MP233325,2021,-24,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,42345,Black,Barcelona Red Metallic,Sedan, CA,34.687584,-120.4390175,38,30,348,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,20982,-0.97226193880469
5YFEPMAE9MP233731,2021,-14,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,47657,Black,Super White,Sedan, CA,33.870413,-117.9962165,38,30,348,lane keeping assist bluetooth connection black premium fabric seat trim super white 50 state emissions,20991,0
5YFEPMAE9MP241019,2021,-2,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,40070,Unknown,Barcelona Red Metallic,Sedan, MO,38.6254063,-90.190009,38,30,351,barcelona red metallic back up camera keyless entry mp3 player satellite radio telephone bluetooth connection tire front tires front performance tire rear tires rear performance,21197,0
5YFEPMAE9MP244020,2021,-6,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,40456,Unknown,Super White,Sedan, MN,44.9772995,-93.2654692,38,30,351,super white back up camera keyless entry mp3 player satellite radio telephone bluetooth connection tire front tires front performance tire rear tires rear performance,21197,1.00014152946172
5YFEPMAE9MP244647,2021,-23,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,40298,Black,Classic Silver Metallic,Sedan, NV,36.0319602,-114.9822716,38,30,389,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,23488,0
5YFEPMAE9MP245958,2021,-69,Personal Use,Clean,1,0,Automatic,Gas,FWD,1.8L Inline-4 Gas,38157,Black,Black Sand Pearl,Sedan, MA,42.1428913,-71.5164618,38,30,370,6 speakers am fm radio siriusxm radio data system radio audio air conditioning automatic temperature control rear window defroster power steering power windows remote keyless entry steering wheel mounted audio controls four wheel independent suspension traction control 4 wheel disc brakes abs brakes dual front impact airbags dual front side impact airbags emergency communication system safety connect with 1 year trial,22347,2.59990155278113
